"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5363","CT003 - Não deve logar com senha curta","Fluxo de Login - Desafio Mobile","2026-07-19","passed","2026-07-19","","","",""
"","10723","CT001 - Deve logar com sucesso com credenciais válidas","Fluxo de Login - Desafio Mobile","2026-07-19","passed","2026-07-19","","","",""
"","5718","CT004 - Deve exibir texto de erro correto para formato de e-mail inválido","Fluxo de Login - Desafio Mobile","2026-07-19","passed","2026-07-19","","","",""
"","3093","CT007 - Deve validar a existência de todas as opções do carrossel na árvore de elementos","Fluxo de Navegação - Desafio Mobile","2026-07-19","passed","2026-07-19","","","",""
"","5265","CT008 - Deve digitar no campo de texto e validar o espelhamento em tempo real","Fluxo de Componentes de Formulário - Desafio Mobile","2026-07-19","passed","2026-07-19","","","",""
"","2864","CT010 - Deve abrir o menu suspenso (Dropdown) e selecionar a opção correta","Fluxo de Componentes de Formulário - Desafio Mobile","2026-07-19","passed","2026-07-19","","","",""
"","3133","CT005 - Deve navegar para a tela de Login através da TabBar inferior","Fluxo de Navegação - Desafio Mobile","2026-07-19","passed","2026-07-19","","","",""
"","1452","CT009 - Deve alternar o estado do componente Switch e validar alteração de texto","Fluxo de Componentes de Formulário - Desafio Mobile","2026-07-19","passed","2026-07-19","","","",""
"","5864","CT002 - Não deve logar com e-mail inválido","Fluxo de Login - Desafio Mobile","2026-07-19","passed","2026-07-19","","","",""
"","1686","CT006 - Deve navegar para a tela de Formulários (Forms) e verificar os elementos","Fluxo de Navegação - Desafio Mobile","2026-07-19","passed","2026-07-19","","","",""
